Date,Open,High,Low,Close
02/19/2016,23640.32,23774.48,23508.36,23709.15
02/22/2016,23783.47,23855.04,23674.86,23788.79
02/23/2016,23850.41,23851.51,23361.94,23410.18
02/24/2016,23332.94,23338.89,23057.45,23088.93
02/25/2016,23105.16,23142.96,22948.1,22976
02/26/2016,23141.08,23227.91,23021.94,23154.3
02/29/2016,23238.5,23343.22,22494.61,23002
03/01/2016,23153.32,23821.49,23133.18,23779.35
03/02/2016,24044.96,24280.42,24043.89,24242.98
03/03/2016,24386.67,24640.51,24383.28,24606.99
03/04/2016,24704.59,24719.05,24531.8,24646.48
03/08/2016,24655.19,24793.62,24509.21,24659.23
03/09/2016,24527.27,24820.76,24451.6,24793.96
03/10/2016,24815.7,24817.48,24471.39,24623.34
03/11/2016,24620.39,24817.8,24552.26,24717.99
03/14/2016,24801.7,24960.51,24734.04,24804.28
03/15/2016,24832.04,24840.77,24517.28,24551.17
03/16/2016,24537.61,24706.85,24354.55,24682.48
03/17/2016,24852.18,24948.3,24576.52,24677.37
03/18/2016,24729.41,24986.94,24681.64,24952.74
03/21/2016,25007.56,25327.45,24988.27,25285.37
03/22/2016,25331.01,25381.33,25083.7,25330.49
03/23/2016,25322.1,25367.81,25156.82,25337.56
03/28/2016,25417.11,25432.94,24895.49,24966.4
03/29/2016,24957.24,25079.35,24835.56,24900.46
03/30/2016,25062.06,25358.84,25055.42,25338.58
03/31/2016,25364.75,25479.62,25223.22,25341.86
04/01/2016,25301.7,25354.94,25119.35,25269.64
04/04/2016,25333.98,25424.15,25223.49,25399.65
04/05/2016,25372.44,25372.44,24837.51,24883.59
04/06/2016,24978.86,25000.65,24834.16,24900.63
04/07/2016,24998.79,25013.13,24647.48,24685.42
04/08/2016,24665.8,24736.03,24608.51,24673.84
04/11/2016,24789.4,25049.92,24523.2,25022.16
04/12/2016,25056.47,25180.02,24996.44,25145.59
04/13/2016,25358.42,25671.5,25358.42,25626.75
04/18/2016,25833.16,25870.03,25634.12,25816.36
04/20/2016,25942.34,25956.34,25716.81,25844.18
04/21/2016,25979.68,26080.07,25783.12,25880.38
04/22/2016,25892.49,25922.02,25771.88,25838.14
04/25/2016,25891.03,25891.03,25585.93,25678.93
04/26/2016,25604.92,26055,25549.05,26007.3
04/27/2016,25956.42,26092.93,25885.24,26064.12
04/28/2016,26078.28,26100.54,25561.17,25603.1
04/29/2016,25612.91,25755.43,25424.03,25606.62
05/02/2016,25565.44,25565.44,25341.14,25436.97
05/03/2016,25500.14,25705.96,25192.94,25229.7
05/04/2016,25210.87,25245.7,25061.04,25101.73
05/05/2016,25187.66,25394.1,25162.94,25262.21
05/06/2016,25223.67,25260.48,25057.93,25228.5
05/09/2016,25321.83,25709.68,25302.86,25688.86
05/10/2016,25682.98,25809.93,25614.24,25772.53
05/11/2016,25548.97,25762.49,25409.24,25597.02
05/12/2016,25684.6,25827.03,25620.27,25790.22
05/13/2016,25739.94,25743.69,25400.27,25489.57
05/16/2016,25528.8,25688.46,25351.62,25653.23
05/17/2016,25756.14,25927.31,25733.76,25773.61
05/18/2016,25671.48,25747,25503.4,25704.61
05/19/2016,25713.84,25714.56,25351.99,25399.72
05/20/2016,25428.42,25506.06,25251.9,25301.9
05/23/2016,25447.72,25519.26,25207.78,25230.36
05/24/2016,25256.97,25340.47,25181.47,25305.47
05/25/2016,25432.1,25897.87,25430.59,25881.17
05/26/2016,26008.25,26398.94,25941.51,26366.68
05/27/2016,26415.93,26677.43,26405.28,26653.6
05/30/2016,26694.75,26794.96,26623.33,26725.6
05/31/2016,26817.75,26837.2,26561.58,26667.96
06/01/2016,26684.46,26857.25,26671.86,26713.93
06/02/2016,26694.28,26885.16,26641.02,26843.14
06/03/2016,26919.23,27008.14,26792.07,26843.03
06/06/2016,26897.84,26901.42,26729.54,26777.45
06/07/2016,26833.54,27082.63,26829.53,27009.67
06/08/2016,27085.24,27105.41,26973.71,27020.66
06/09/2016,26994.48,26994.91,26692.35,26763.46
06/10/2016,26742.26,26972.06,26620.5,26635.75
06/13/2016,26468.27,26468.27,26262.27,26396.77
06/14/2016,26482.5,26485.45,26264.81,26395.71
06/15/2016,26500.79,26752.59,26446.59,26726.34
06/16/2016,26686.03,26686.03,26314.91,26525.46
06/17/2016,26653.85,26730.55,26538.51,26625.91
06/20/2016,26497.11,26885.49,26447.88,26866.92
06/21/2016,26907.42,26925.64,26754.6,26812.78
06/22/2016,26791.68,26887.29,26617.45,26765.65
06/23/2016,26753.2,27060.98,26736.52,27002.22
06/24/2016,26367.48,26435.85,25911.33,26397.71
06/27/2016,26347.81,26493.51,26262.72,26402.96
06/28/2016,26410.66,26583.33,26378.46,26524.55
06/29/2016,26627.15,26776.17,26606.31,26740.39
06/30/2016,26926.17,27069.23,26872.59,26999.72
07/01/2016,27064.33,27243.36,27061.4,27144.91
07/04/2016,27314.44,27385.66,27251.06,27278.76
07/05/2016,27340.72,27348.66,27127.3,27166.87
07/07/2016,27209.97,27288.22,27146.95,27201.49
07/08/2016,27292.2,27294.82,27034.14,27126.9
07/11/2016,27358.23,27647.48,27358.23,27626.69
07/12/2016,27667.81,27828.74,27667.81,27808.14
07/13/2016,27912.14,27928.76,27752.14,27815.18
07/14/2016,27857.8,27967.77,27763.15,27942.11
07/15/2016,27966.14,28048.7,27735.87,27836.5
